Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,59.24356235,46.10981296,49.33522498,10975.47515,5422.403534,4198.871794,14.29913051,12.91208911,4.542386174,5.727356195,66.42996675,34.6298961,33.0400918,3285.625071,6792,3745
dynamic,外套右邊,run,51.83489751,41.76303415,38.934256,10850.9961,4891.174696,2869.518145,13.37667113,12.18340087,4.617297888,4.542386055,65.53283976,31.97978733,22.5834009,4144.031044,6109,3612
dynamic,外套右邊,run,50.37704453,45.09879294,39.16485863,10348.44673,5203.063743,2818.34843,12.8741016,13.29345965,3.323364675,3.943090916,62.43100579,33.6400101,22.16490066,3279.478809,6726,3858
dynamic,外套右邊,run,51.59680667,45.13847277,46.09760757,10680.54933,5636.701659,3516.982927,13.84018861,9.595535517,4.521955609,6.108726025,63.39942221,36.54741535,27.40964251,2678.017746,6384,3701
dynamic,外套右邊,run,49.79820274,41.72665033,42.23572264,10375.97143,5379.705241,3069.308455,13.54649987,9.73173821,4.460663676,4.48109436,62.95609785,34.5882812,24.16668641,2104.84153,6611,3596
dynamic,外套右邊,run,46.82644326,38.9117366,42.43363596,10186.26327,5046.557945,3426.883831,13.54660627,12.16297054,4.331270754,6.728451729,60.85907218,31.71411253,26.3035512,2039.753159,6890,3556
dynamic,外套右邊,run,50.5229874,37.97209624,45.50311734,10659.19081,4366.799941,4075.625134,13.80666982,12.98700202,4.140585661,7.641015172,63.36323294,28.53582796,29.82785802,2330.993385,7694,3776
dynamic,外套右邊,run,59.43301039,43.87256005,45.54599934,10631.99372,4281.390432,3492.553754,13.57693285,12.19702148,4.378941894,5.768217325,63.04818845,28.17223591,26.96196786,2912.337803,7427,3761
dynamic,外套右邊,run,44.72806175,42.04654536,43.64133801,10096.96333,5053.141113,3839.189925,13.50116965,11.12782431,3.772836387,6.76931262,60.10608274,32.78437031,28.82376636,3439.793468,7415,3734
dynamic,外套右邊,run,44.44771926,38.99783753,41.33550797,9977.417534,3610.774636,3124.60961,12.26969865,11.91099441,3.330174983,5.918041229,58.07625096,23.87059392,24.32258439,2898.086609,7153,3807
dynamic,外套右邊,run,50.62032223,39.60649702,38.34916241,9745.513994,4564.090907,3718.054211,13.23684979,10.1335386,4.195067048,4.923755646,57.73569325,29.04509163,29.23368478,2280.786598,6559,3444
dynamic,外套右邊,run,53.28697665,41.19000321,49.21359498,8878.628638,3853.165587,4114.742763,12.69118464,9.806649923,3.350605547,4.889705181,54.97055662,25.97416537,32.39906032,2715.62294,6748,3778
dynamic,外套右邊,run,46.54550932,45.61718725,44.41177745,9086.634808,5213.547944,3642.002814,12.8073832,8.635300457,4.481094241,3.990761995,56.31296251,33.202333,28.66113541,3583.363762,6882,4121
dynamic,外套右邊,run,49.29708653,43.81370525,47.27525407,10500.3559,4263.970363,4653.203484,14.06311543,9.847511411,4.079294086,5.502620578,66.85867064,28.0772297,36.02741251,3945.494623,6805,3728
dynamic,外套右邊,run,49.39920089,42.70945457,50.16379099,9959.011627,5462.721366,4457.938452,13.90722624,12.33322465,3.88860929,4.331270695,61.55901036,35.23897315,34.99474039,3430.875407,6792,3559
dynamic,外套右邊,run,54.51746161,42.60056614,47.19042688,9979.528946,4983.206579,4268.995089,13.69249298,10.82136679,4.038433254,5.740976572,61.1544541,31.69738586,33.57516131,2774.527569,6797,3622
dynamic,外套右邊,run,44.43369468,37.56010567,40.45075468,10133.54261,5041.07033,3504.291535,13.57735846,12.62606168,2.982856095,4.73307085,60.01018558,33.18952459,27.58967728,1925.663692,7053,3579
dynamic,外套右邊,run,46.70422009,43.94909507,55.08277788,9506.40062,5580.185301,4551.589367,13.93914898,9.152873874,5.918040991,4.344890833,58.72569107,34.48601935,35.52701502,1365.602237,6481,3909
dynamic,外套右邊,run,58.15796832,44.40044021,47.02423191,10212.70557,5334.824245,3855.221076,13.84497704,10.03819704,4.807982922,5.775027514,61.67793921,34.2122376,30.30228384,1855.955529,7687,4008
dynamic,外套右邊,run,56.38182665,43.33767576,48.19073175,9858.35903,5401.493146,3952.653701,14.19687149,11.03248167,4.801172614,7.143872261,60.1450218,34.79315815,31.04945766,2506.287033,6466,3647
dynamic,外套右邊,run,63.91106701,49.81184497,47.58210157,11408.21334,5998.037314,3542.827087,14.72934194,13.57267618,4.998667598,6.490095735,64.98802329,37.62516959,27.14827264,3099.84885,6557,3528
dynamic,外套右邊,run,58.57348648,46.44341075,45.70969327,10343.77305,6178.609078,3429.749462,13.8732818,11.35936975,4.630918264,4.501525044,64.28196535,38.29249929,26.83098659,3142.340002,6637,4030
dynamic,外套右邊,run,58.17823093,49.56783254,50.09230285,9179.393338,5635.632053,3994.998087,13.11192567,9.234595299,4.637728691,4.406182647,55.87163297,35.36272404,31.07052358,3387.824256,7431,4122
dynamic,外套右邊,run,55.4377534,40.84744133,48.71877531,10171.51433,3651.217054,4140.63823,12.76077604,11.37299049,3.405087113,4.05886364,60.48931223,24.19359975,32.4624525,3225.35399,7005,4178
dynamic,外套右邊,run,56.86303549,41.45485078,44.85896477,8882.750585,3141.8646,3230.107252,11.24913029,8.614869952,2.819412202,4.297219753,53.06784206,21.34605621,25.00550651,3772.51811,7349,4216
dynamic,外套右邊,run,50.53881241,39.1547216,40.05563472,8583.774815,2699.697078,2438.465954,10.62663783,7.920232177,3.139490247,3.507239521,51.20075684,19.53738304,17.62011569,2583.115357,7258,3835
